model_name,date_entered,user_name,function_name,time_spent,team_name,category_name,the_year,month_name,month_number
LAAB,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,5,EMEA,Reporting,2015,September,9
LAAB,14-Sep-15,Mary Henderson,BAU Deal | Reporting,5,EMEA,Reporting,2015,September,9
Loude Art Facility Agent,14-Sep-15,Ryan Grady,BAU Deal | Reporting,90,APAC,Reporting,2015,September,9
Lyahinha,14-Sep-15,Mary Henderson,BAU Deal | Reporting,15,EMEA,Reporting,2015,September,9
Lyahinha,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,30,EMEA,Reporting,2015,September,9
N/A,14-Sep-15,Owen Chase,Other | Research/Investigation,120,APAC,Other,2015,September,9
N/A,14-Sep-15,Ryan Grady,Other | Meetings,60,APAC,Other,2015,September,9
N/A,14-Sep-15,Owen Chase,Other | Meetings,60,APAC,Other,2015,September,9
N/A,14-Sep-15,Owen Chase,Other | Meetings,90,APAC,Other,2015,September,9
N/A,14-Sep-15,Mike Connolly,Other | Training,60,APAC,Other,2015,September,9
N/A,14-Sep-15,Owen Chase,Other | Research/Investigation,120,APAC,Other,2015,September,9
N/A,14-Sep-15,Kian Dooley,Other | Research/Investigation,150,EMEA,Other,2015,September,9
N/A,14-Sep-15,Fiona Wilson,Other | Meetings,60,APAC,Other,2015,September,9
N/A,14-Sep-15,Cian Smith,Other | Out of the Office,450,EMEA,Other,2015,September,9
N/A,14-Sep-15,Owen Chase,Other | Research/Investigation,90,APAC,Other,2015,September,9
Project Round IV,14-Sep-15,Fiona Wilson,BAU Deal | Reporting,60,APAC,Reporting,2015,September,9
Prospectfully Yours,14-Sep-15,Owen Chase,New Deal | Document Review,60,APAC,New Business,2015,September,9
Spiddle Bank,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,10,EMEA,Reporting,2015,September,9
Spiddle Bank,14-Sep-15,Mary Henderson,BAU Deal | Reporting,15,EMEA,Reporting,2015,September,9
Tecrola,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,20,EMEA,Reporting,2015,September,9
Tecrola,14-Sep-15,Mary Henderson,BAU Deal | Reporting,90,EMEA,Reporting,2015,September,9
Tecrola,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,5,EMEA,Reporting,2015,September,9
Tecrola,14-Sep-15,Mary Henderson,BAU Deal | Reporting,20,EMEA,Reporting,2015,September,9
TGAS Banking Corp - Facility Agent,14-Sep-15,Fiona Wilson,BAU Deal | Reporting,60,APAC,Reporting,2015,September,9
Tower Sky,14-Sep-15,Ian Lawton,BAU Deal | Modeling/Enhancements,60,APAC,Support,2015,September,9
Triggnum 2008,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,5,EMEA,Reporting,2015,September,9
Triggnum 2008,14-Sep-15,Mary Henderson,BAU Deal | Reporting,15,EMEA,Reporting,2015,September,9
Triggnum 2015,14-Sep-15,Mary Henderson,BAU Deal | Reporting,20,EMEA,Reporting,2015,September,9
Triggnum 2015,14-Sep-15,Brendan Stafford,BAU Deal | Reporting,20,EMEA,Reporting,2015,September,9
